"id";"PredictorType";"P";"C";"predictor.eff";"prevy1";"datagen";"datacor";"margp.x";"alpha";"beta";"EPV";"folders"
22;"TypeI";4;0.75;"half.noise";0.125;"gen.MVNX";0;".";-2.29054000256571;0.714176503176517;30;"main00153"
22;"TypeI";4;0.75;"half.noise";0.125;"gen.MVNX";0;".";-2.29054000256571;0.714176503176517;50;"main00154"
23;"TypeI";4;0.75;"half.noise";0.5;"gen.MVNX";0;".";-0.00254661466260586;0.751621853391285;3;"main00155"
23;"TypeI";4;0.75;"half.noise";0.5;"gen.MVNX";0;".";-0.00254661466260586;0.751621853391285;5;"main00156"
23;"TypeI";4;0.75;"half.noise";0.5;"gen.MVNX";0;".";-0.00254661466260586;0.751621853391285;10;"main00157"
23;"TypeI";4;0.75;"half.noise";0.5;"gen.MVNX";0;".";-0.00254661466260586;0.751621853391285;15;"main00158"
23;"TypeI";4;0.75;"half.noise";0.5;"gen.MVNX";0;".";-0.00254661466260586;0.751621853391285;20;"main00159"
23;"TypeI";4;0.75;"half.noise";0.5;"gen.MVNX";0;".";-0.00254661466260586;0.751621853391285;30;"main00160"
23;"TypeI";4;0.75;"half.noise";0.5;"gen.MVNX";0;".";-0.00254661466260586;0.751621853391285;50;"main00161"
24;"TypeI";4;0.75;"half.noise";0.0625;"gen.MVNX";0;".";-3.11722367938606;0.700619154035564;3;"main00162"
24;"TypeI";4;0.75;"half.noise";0.0625;"gen.MVNX";0;".";-3.11722367938606;0.700619154035564;5;"main00163"
24;"TypeI";4;0.75;"half.noise";0.0625;"gen.MVNX";0;".";-3.11722367938606;0.700619154035564;10;"main00164"
24;"TypeI";4;0.75;"half.noise";0.0625;"gen.MVNX";0;".";-3.11722367938606;0.700619154035564;15;"main00165"
24;"TypeI";4;0.75;"half.noise";0.0625;"gen.MVNX";0;".";-3.11722367938606;0.700619154035564;20;"main00166"
24;"TypeI";4;0.75;"half.noise";0.0625;"gen.MVNX";0;".";-3.11722367938606;0.700619154035564;30;"main00167"
24;"TypeI";4;0.75;"half.noise";0.0625;"gen.MVNX";0;".";-3.11722367938606;0.700619154035564;50;"main00168"
